"Frequency";"S11-Gain (dB)";"S11-Phase (°)";"S11-S-Real";"S11-S-Imaginary"
"1.1e+08";"-2.193480513961383";"-84.87147665159848";"0.06944094112202856";"-0.7737200809683312"
"110500000";"-2.3245825322296447";"-84.65783518403582";"0.07124199826705029";"-0.7618691453961356"
"1.11e+08";"-2.1298188366995467";"-85.9830806817365";"0.0548180651160318";"-0.7806221338256204"
"111500000";"-2.2416703965392046";"-87.82741211090227";"0.029286476417822643";"-0.7719766832781652"
"1.12e+08";"-2.323622666872826";"-87.39841556643105";"0.03473640876509519";"-0.7644886024047062"
"112500000";"-2.2758466425887907";"-86.81040916871098";"0.042814972737981745";"-0.768306267335347"
"1.13e+08";"-2.1592952949697857";"-88.36414942769017";"0.022263694210695326";"-0.7795755356754311"
"113500000";"-2.2451239422314155";"-89.67211196089728";"0.004419207301867299";"-0.7722122581558332"
"1.14e+08";"-2.1068857808359938";"-90.12599354399092";"-0.00172536514598708";"-0.7846114849174255"
"114500000";"-2.251002838745981";"-91.20146769560388";"-0.01618107963332232";"-0.7715327513729546"
"1.15e+08";"-2.356406094831878";"-91.3789574365024";"-0.018347039531387308";"-0.7621736028950862"
"115500000";"-2.43080376695835";"-92.16366536336851";"-0.0285380336799784";"-0.7553532029131812"
"1.16e+08";"-2.4576590737692374";"-92.63268009297103";"-0.034613034188695685";"-0.7527632712863277"
"116500000";"-2.429675961757533";"-93.70432548765963";"-0.048842750317591464";"-0.7544108055228476"
"1.17e+08";"-2.541247426490416";"-94.27684322108657";"-0.05565894189152421";"-0.7442632688266619"
"117500000";"-2.6558761963448467";"-94.96792965885922";"-0.06378443078915311";"-0.7337897063962605"
"1.18e+08";"-2.8583220069610125";"-96.248126151043";"-0.07831590028166112";"-0.7153135530881132"
"118500000";"-2.827141858338802";"-96.59830887698693";"-0.0829836497279225";"-0.717392181499156"
"1.19e+08";"-3.014352224307123";"-98.88725371945952";"-0.10919039537602783";"-0.6982915870811136"
"119500000";"-3.063529372694579";"-98.8462050395088";"-0.10807645212846424";"-0.6944268285010865"
"1.2e+08";"-3.5011831100429136";"-100.79782905270325";"-0.12519323285719908";"-0.6564210364629836"
"120500000";"-3.680571480309276";"-100.71580527520469";"-0.12171351404164482";"-0.6431780101006216"
"1.21e+08";"-3.7471037834457013";"-101.06203147003956";"-0.12463947487047954";"-0.6375286808118522"
"121500000";"-4.0246962204929675";"-102.90064186780461";"-0.14046823470060701";"-0.6132849482363765"
"1.22e+08";"-4.147562456982064";"-103.18405919141229";"-0.14148456610139148";"-0.603978325855671"
"122500000";"-4.619414689208192";"-105.78073647579049";"-0.15978244561534735";"-0.5653846730576971"
"1.23e+08";"-4.746685454576533";"-106.11603540355506";"-0.16071611713618805";"-0.5562297302553233"
"123500000";"-4.899893153062832";"-106.74774468125266";"-0.16392186652065796";"-0.5447304286432524"
"1.24e+08";"-5.197090355447256";"-107.97236583067645";"-0.16962218559868902";"-0.5229014073573824"
"124500000";"-5.519719826955383";"-109.44984164255204";"-0.17637382567380339";"-0.49945343774319345"
"1.25e+08";"-5.70490591353991";"-110.13943340624343";"-0.17852507205364473";"-0.48680428028671147"
"125500000";"-5.755710454621807";"-111.47962924618807";"-0.18875467583553712";"-0.4796817222034283"
"1.26e+08";"-5.719814681176022";"-115.21060972503533";"-0.22047769596794825";"-0.4683138377721892"
"126500000";"-6.4004463671110265";"-113.30930522570057";"-0.18938163876000114";"-0.439542734998014"
"1.27e+08";"-6.577020936770854";"-116.43110622903883";"-0.20875045387634775";"-0.4199524380532703"
