"Freq [GHz]","dB(S(1,1)) []"
1.4703,-13.4478271983251
1.4736,-13.447725536912
1.4769,-13.4476235565824
1.4802,-13.4475212575583
1.4835,-13.4474186400603
1.4868,-13.4473157043084
1.4901,-13.4472124505214
1.4934,-13.447108878917
1.4967,-13.4470049897121
1.5,-13.4469007831225
