"Freq [GHz]","dB(S(1,1)) [] - largo_plano_tierra='30mm' radio_circulo='17mm'"
2.34888888888889,-10.5139217048129
2.35111111111111,-10.4567550912239
2.35333333333333,-10.4002846603055
2.35555555555556,-10.3445016533682
2.35777777777778,-10.2893974747175
2.36,-10.2349636874417
2.36222222222222,-10.1811920093146
2.36444444444444,-10.1280743088109
2.36666666666667,-10.0756026012332
2.36888888888889,-10.0237690449466
2.37111111111111,-9.97256593771819
2.37333333333333,-9.92198571316093
2.37555555555556,-9.87202093727674
2.37777777777778,-9.82266430509802
2.38,-9.77390863742472
2.38222222222222,-9.72574687765395
2.38444444444444,-9.67817208870049
2.38666666666667,-9.63117745000494
2.38888888888889,-9.58475625462789
2.39111111111111,-9.53890190642717
2.39333333333333,-9.49360791731624
2.39555555555556,-9.4488679046013
2.39777777777778,-9.4046755883949
2.4,-9.361024789104
2.40222222222222,-9.31790942499018
2.40444444444444,-9.27532350980016
2.40666666666667,-9.23326115046432
2.40888888888889,-9.19171654486146
2.41111111111111,-9.15068397964792
2.41333333333333,-9.1101578281488
2.41555555555556,-9.07013254831002
2.41777777777778,-9.03060268070886
2.42,-8.99156284662177
2.42222222222222,-8.95300774614727
2.42444444444444,-8.91493215638265
2.42666666666667,-8.87733092965283
2.42888888888889,-8.84019899178948
2.43111111111111,-8.80353134045947
2.43333333333333,-8.76732304354065
2.43555555555556,-8.7315692375438
2.43777777777778,-8.69626512607931
2.44,-8.66140597836727
2.44222222222222,-8.62698712778956
2.44444444444444,-8.59300397048282
2.44666666666667,-8.55945196397095
2.44888888888889,-8.52632662583585
2.45111111111111,-8.49362353242568
2.45333333333333,-8.46133831759882
2.45555555555556,-8.42946667150311
2.45777777777778,-8.39800433938878
2.46,-8.36694712045442
2.46222222222222,-8.33629086672478
2.46444444444444,-8.30603148195945
2.46666666666667,-8.27616492059153
2.46888888888889,-8.24668718669533
2.47111111111111,-8.21759433298231
2.47333333333333,-8.18888245982423
2.47555555555556,-8.16054771430282
2.47777777777778,-8.13258628928505
2.48,-8.10499442252339
2.48222222222222,-8.07776839578003
2.48444444444444,-8.05090453397457
2.48666666666667,-8.02439920435433
2.48888888888889,-7.99824881568657
2.49111111111111,-7.97244981747209
2.49333333333333,-7.94699869917936
2.49555555555556,-7.92189198949866
2.49777777777778,-7.89712625561559
2.5,-7.87269810250342
2.50222222222222,-7.84860417223349
2.50444444444444,-7.82484114330339
2.50666666666667,-7.80140572998213
2.50888888888889,-7.77829468167187
2.51111111111111,-7.75550478228575
2.51333333333333,-7.73303284964121
2.51555555555556,-7.71087573486839
2.51777777777778,-7.68903032183305
2.52,-7.66749352657383
2.52222222222222,-7.6462622967529
2.52444444444444,-7.62533361112019
2.52666666666667,-7.60470447899025
2.52888888888889,-7.58437193973164
2.53111111111111,-7.56433306226844
2.53333333333333,-7.54458494459331
2.53555555555556,-7.52512471329204
2.53777777777778,-7.50594952307886
2.54,-7.48705655634255
2.54222222222222,-7.46844302270274
2.54444444444444,-7.45010615857615
2.54666666666667,-7.4320432267526
2.54888888888889,-7.41425151598015
2.55111111111111,-7.39672834055951
2.55333333333333,-7.37947103994706
2.55555555555556,-7.36247697836641
2.55777777777778,-7.34574354442817
2.56,-7.32926815075764
2.56222222222222,-7.31304823363025
2.56444444444444,-7.29708125261442
2.56666666666667,-7.2813646902217
2.56888888888889,-7.26589605156377
2.57111111111111,-7.25067286401634
2.57333333333333,-7.23569267688957
2.57555555555556,-7.22095306110478
