"Freq [MHz]","dB(S(1,1)) []"
182.666666666667,-1.26020697194568
182.888888888889,-1.25366303399543
183.111111111111,-1.24719473833884
183.333333333333,-1.24080089274906
183.555555555556,-1.23448032868304
183.777777777778,-1.22823190071951
184,-1.22205448601236
184.222222222222,-1.215946983759
184.444444444444,-1.2099083146832
184.666666666667,-1.20393742053198
184.888888888889,-1.19803326358611
185.111111111111,-1.19219482618382
185.333333333333,-1.18642111025729
185.555555555556,-1.18071113688159
185.777777777778,-1.17506394583554
186,-1.1694785951744
186.222222222222,-1.16395416081375
186.444444444444,-1.15848973612439
186.666666666667,-1.15308443153791
186.888888888889,-1.14773737416254
187.111111111111,-1.14244770740912
187.333333333333,-1.13721459062669
187.555555555556,-1.1320371987476
187.777777777778,-1.12691472194176
188,-1.1218463652798
188.222222222222,-1.11683134840486
188.444444444444,-1.11186890521277
188.666666666667,-1.10695828354038
188.888888888889,-1.10209874486181
189.111111111111,-1.09728956399234
189.333333333333,-1.09253002879988
189.555555555556,-1.08781943992348
189.777777777778,-1.08315711049912
190,-1.07854236589221
190.222222222222,-1.07397454343673
190.444444444444,-1.06945299218091
190.666666666667,-1.06497707263913
190.888888888889,-1.06054615654997
191.111111111111,-1.05615962664016
191.333333333333,-1.05181687639432
191.555555555556,-1.04751730983028
191.777777777778,-1.04326034127995
192,-1.03904539517537
192.222222222222,-1.03487190583998
192.444444444444,-1.03073931728493
192.666666666667,-1.02664708301026
192.888888888889,-1.0225946658108
193.111111111111,-1.01858153758668
193.333333333333,-1.01460717915844
193.555555555556,-1.01067108008639
193.777777777778,-1.00677273849428
194,-1.00291166089715
194.222222222222,-0.999087362033151
194.444444444444,-0.9952993646993
194.666666666667,-0.991547199591124
194.888888888889,-0.987830405145958
195.111111111111,-0.984148527389868
195.333333333333,-0.98050111978815
195.555555555556,-0.976887743099216
195.777777777778,-0.973307965231875
196,-0.969761361105807
196.222222222222,-0.966247512515291
196.444444444444,-0.962766007995968
196.666666666667,-0.959316442694631
196.888888888889,-0.955898418241983
197.111111111111,-0.952511542628205
197.333333333333,-0.94915543008135
197.555555555556,-0.945829700948446
197.777777777778,-0.942533981579242
198,-0.939267904212532
198.222222222222,-0.936031106865011
198.444444444444,-0.932823233222565
198.666666666667,-0.929643932533981
198.888888888889,-0.926492859506948
199.111111111111,-0.923369674206383
199.333333333333,-0.920274041954916
199.555555555556,-0.917205633235604
199.777777777778,-0.914164123596692
200,-0.911149193558483
