"Frequency";"S11-Gain (dB)";"S11-Phase (°)"
"2588628762";"-13.355438564262105";"161.67210010499088"
"2602006688";"-14.544536356747187";"160.4187581338791"
"2615384615";"-13.512877791642232";"151.94007485485798"
"2628762541";"-12.322376421662764";"145.3949237412858"
"2642140468";"-11.686005357544625";"150.29800874015817"
"2655518394";"-12.547811944827007";"147.57438118867026"
"2668896321";"-13.180646286609045";"149.490888684574"
"2682274247";"-12.675687971731142";"148.00900840999884"
"2695652173";"-13.36319859160292";"160.91976339845084"
"2709030100";"-19.460738347241488";"19.241106041893456"
"2722408026";"-20.768103245558365";"50.93815110508353"
"2735785953";"-22.167494481359032";"48.899678303099805"
"2749163879";"-23.11722596601506";"42.308857653234476"
"2762541805";"-23.70281618205493";"38.2022236202913"
"2775919732";"-25.72383478701735";"28.963660186622434"
"2789297658";"-25.784399938368484";"1.432653328642994"
"2802675585";"-22.657880173040112";"-15.626536182740633"
"2816053511";"-20.617102133111885";"-23.23529382757897"
"2829431438";"-18.41300351884062";"-25.301539889237347"
"2842809364";"-17.09655395024326";"-23.98713259159673"
"2856187290";"-16.700579610651584";"-22.11234258114915"
"2869565217";"-15.693299528048039";"-20.000485706444195"
"2882943143";"-16.39942446324502";"-11.812309224152479"
"2896321070";"-16.765922877181506";"-11.374263380525042"
"2909698996";"-15.325976211931318";"-8.189515839446713"
"2923076923";"-13.541161681365775";"5.584040363459659"
"2936454849";"-19.42730966505268";"-46.169665472534966"
"2949832775";"-13.077518460757798";"-5.765620136448714"
"2963210702";"-12.921301719776938";"-0.4624258489562818"
"2976588628";"-15.905261623375601";"-5.016927253565028"
"2989966555";"-17.396818673793774";"-22.84321901406886"
"3003344481";"-16.323438035258008";"-25.543015788421133"
"3016722407";"-15.474926379679017";"-24.115519264100794"
"3030100334";"-14.800609929275844";"-15.753721224221795"
"3043478260";"-13.898197977109124";"-12.871195813421338"
"3056856187";"-14.248749827626185";"-8.96200198991802"
"3070234113";"-14.317557558874531";"-8.906944098272591"
"3083612040";"-14.03675056293494";"-7.8446208107261715"
"3096989966";"-13.545156002119311";"-2.7697726889101144"
"3110367892";"-13.341778114378101";"3.1699977829169"
"3123745819";"-13.656778461806248";"3.5895299601473356"
"3137123745";"-12.678729704917766";"4.871220936185656"
"3150501672";"-14.244661275940583";"6.998333342160163"
"3163879598";"-12.014853464246078";"8.903506028977622"
"3177257525";"-12.72475795913931";"24.02535993878909"
"3190635451";"-13.299968582810456";"21.386094397010183"
"3204013377";"-12.664632106646723";"17.256685253772723"
"3217391304";"-13.374987259203916";"15.757066081284531"
"3230769230";"-13.429968961741983";"10.14953100793259"
"3244147157";"-12.418625093697973";"7.155445559096635"
"3257525083";"-11.377653412238345";"6.483615601298989"
"3270903009";"-11.379298188753829";"14.050689530203107"
"3284280936";"-10.861184699774384";"12.499962411426003"
"3297658862";"-11.035530655399617";"19.984862683020115"
"3311036789";"-11.39639495584211";"24.101971834077787"
"3324414715";"-11.63777770195681";"27.19127106507609"
"3337792642";"-11.31468187934278";"29.960348604538314"
"3351170568";"-11.263860792336617";"34.467508851146526"
"3364548494";"-11.886745634241034";"33.38799224959969"
"3377926421";"-11.952570158199984";"34.419517881157276"
"3391304347";"-12.179688743598513";"31.49158676421265"
"3404682274";"-11.647372361727719";"34.54889604435029"
"3418060200";"-11.256558741781333";"37.65655406176472"
"3431438127";"-10.945419906000513";"42.33949794841573"
"3444816053";"-10.592995960478904";"48.19053908816078"
"3458193979";"-10.398500673749922";"54.04250385131807"
