"Freq [GHz]","dB(S(1,1)) []"
2.04,-20.6139723888918,-0.0953353643624619
2.04066666666667,-20.6670821622913,-0.095437795073862
2.04133333333333,-20.7201753909164,-0.0955405065545027
2.042,-20.7732425043636,-0.0956434970559608
2.04266666666667,-20.8262735913065,-0.0957467648439337
2.04333333333333,-20.8792583920781,-0.0958503081983011
2.044,-20.9321862913706,-0.0959541254131283
2.04466666666667,-20.9850463110806,-0.0960582147967171
2.04533333333333,-21.0378271033295,-0.0961625746716304
2.046,-21.090516943691,-0.096267203374723
2.04666666666667,-21.14310372466,-0.0963720992571798
2.04733333333333,-21.1955749493979,-0.0964772606845435
2.048,-21.2479177257947,-0.0965826860367461
2.04866666666667,-21.3001187608857,-0.0966883737081475
2.04933333333333,-21.3521643556684,-0.0967943221075562
2.05,-21.4040404003618,-0.0969005296582776
2.05066666666667,-21.4557323701578,-0.0970069947981356
2.05133333333333,-21.5072253215119,-0.0971137159795037
2.052,-21.5585038890265,-0.097220691669345
2.05266666666667,-21.6095522829789,-0.097327920349246
2.05333333333333,-21.6603542875505,-0.0974354005154346
2.054,-21.7108932598142,-0.0975431306788343
2.05466666666667,-21.7611521295388,-0.0976511093650839
2.05533333333333,-21.8111133998718,-0.0977593351145646
2.056,-21.8607591489618,-0.097867806482451
2.05666666666667,-21.9100710325837,-0.0979765220387314
2.05733333333333,-21.9590302878308,-0.0980854803682422
2.058,-22.0076177379379,-0.0981946800707046
2.05866666666667,-22.0558137983001,-0.0983041197607573
2.05933333333333,-22.1035984837509,-0.0984137980679845
2.06,-22.150951417165,-0.0985237136369552
2.06066666666667,-22.1978518394454,-0.0986338651272613
2.06133333333333,-22.2442786209588,-0.0987442512135322
2.062,-22.2902102744752,-0.0988548705854925
2.06266666666667,-22.3356249696698,-0.0989657219479741
2.06333333333333,-22.3805005492383,-0.0990768040209675
2.064,-22.4248145466746,-0.0991881155396421
2.06466666666667,-22.4685442057542,-0.0992996552543932
2.06533333333333,-22.5116665017628,-0.0994114219308552
2.066,-22.5541581644999,-0.0995234143499608
2.06666666666667,-22.595995703085,-0.099635631307955
2.06733333333333,-22.6371554325821,-0.0997480716164405
2.068,-22.6776135024523,-0.0998607341024074
2.06866666666667,-22.7173459268329,-0.0999736176082646
2.06933333333333,-22.7563286166352,-0.100086720991885
2.07,-22.7945374134373,-0.100200043126621
2.07066666666667,-22.8319481251414,-0.100313582901356
2.07133333333333,-22.8685365633499,-0.100427339220538
2.072,-22.9042785824048,-0.100541311004195
2.07266666666667,-22.9391501200196,-0.100655497187997
2.07333333333333,-22.9731272394201,-0.100769896723265
2.074,-23.0061861728976,-0.100884508577025
2.07466666666667,-23.0383033666635,-0.100999331732031
2.07533333333333,-23.069455526879,-0.101114365186807
2.076,-23.099619666723,-0.101229607955675
2.07666666666667,-23.1287731543437,-0.101345059068793
2.07733333333333,-23.1568937615286,-0.101460717572192
2.078,-23.183959712915,-0.101576582527808
2.07866666666667,-23.2099497355487,-0.101692653013522
2.07933333333333,-23.2348431085908,-0.101808928123181
2.08,-23.2586197129582,-0.101925406966653
2.08066666666667,-23.2812600806802,-0.10204208866985
2.08133333333333,-23.3027454437393,-0.102158972374763
2.082,-23.3230577821646,-0.102276057239498
2.08266666666667,-23.3421798711379,-0.102393342438324
2.08333333333333,-23.3600953268713,-0.102510827161688
2.084,-23.376788651016,-0.102628510616258
2.08466666666667,-23.3922452733608,-0.102746392024971
2.08533333333333,-23.4064515925848,-0.102864470627053
2.086,-23.4193950148333,-0.102982745678057
2.08666666666667,-23.4310639898937,-0.103101216449905
2.08733333333333,-23.4414480447589,-0.103219882230922
2.088,-23.4505378143776,-0.10333874232587
2.08866666666667,-23.4583250694037,-0.10345779605598
2.08933333333333,-23.4648027407753,-0.103577042758995
2.09,-23.4699649409698,-0.103696481789206
2.09066666666667,-23.4738069818006,-0.103816112517476
2.09133333333333,-23.476325388645,-0.103935934331304
2.092,-23.477517911009,-0.104055946634822
2.09266666666667,-23.4773835293653,-0.104176148848863
2.09333333333333,-23.4759224582166,-0.104296540410988
2.094,-23.4731361453673,-0.104417120775506
2.09466666666667,-23.4690272674074,-0.104537889413549
2.09533333333333,-23.4635997214362,-0.104658845813061
2.096,-23.4568586130822,-0.104779989478871
2.09666666666667,-23.4488102408926,-0.104901319932717
2.09733333333333,-23.4394620771939,-0.105022836713274
2.098,-23.4288227455436,-0.105144539376211
2.09866666666667,-23.4169019949145,-0.105266427494201
2.09933333333333,-23.403710670772,-0.105388500656987
2.1,-23.3892606832199,-0.105510758471395
2.10066666666667,-23.37356497241,-0.105633200561384
2.10133333333333,-23.3566374714179,-0.105755826568078
2.102,-23.3384930668042,-0.105878636149811
2.10266666666667,-23.3191475570872,-0.106001628982144
2.10333333333333,-23.2986176093584,-0.106124804757933
2.104,-23.2769207142811,-0.106248163187335
