"Frequency";"S11-Gain (dB)";"S11-Phase (°)"
"2.073e+09";"-27.49391156899394";"-49.09713021015108"
"2074750000";"-19.18108324298901";"-45.61610507232373"
"2076500000";"-18.40234179907172";"74.8159204914124"
"2078250000";"-18.24035990868319";"-0.1591423358875635"
"2.08e+09";"-21.916563675252263";"38.701957445872154"
"2081750000";"-18.300310297027355";"30.841383952602694"
"2083500000";"-14.844185861168697";"69.32975203357145"
"2085250000";"-18.84511296910746";"51.9223291325789"
"2.087e+09";"-18.273176535518143";"117.67851481513316"
"2088750000";"-19.425665021780297";"89.55609496168238"
"2090500000";"-17.059488112958288";"68.68400477611867"
"2092250000";"-20.023568888974815";"107.7201264790603"
"2.094e+09";"-14.543799343583835";"98.23390756588606"
"2095750000";"-16.336524234911515";"137.59857673648668"
"2097500000";"-16.770488222879465";"134.29870033111465"
"2099250000";"-16.34556617368571";"139.32418260676823"
"2.101e+09";"-14.186938591983571";"130.72351675574103"
"2102750000";"-13.538522869770249";"144.99318350420333"
"2104500000";"-13.282890093426172";"137.7347296487446"
"2106250000";"-14.014375966391619";"123.09133471954625"
"2.108e+09";"-11.2499312751629";"159.94168865779085"
"2109750000";"-12.636952065279992";"158.9494860885249"
"2111500000";"-10.746819661143867";"164.6571433274601"
"2113250000";"-9.91308996892503";"166.6498398182569"
"2.115e+09";"-9.643124238309959";"157.57340210660928"
"2116750000";"-10.243656097917711";"162.29103365756077"
"2118500000";"-10.130897571557039";"173.74692333170503"
"2120250000";"-9.124112248962344";"170.45951906795187"
"2.122e+09";"-8.808164614036954";"-174.81056504826233"
"2123750000";"-9.690964417686736";"-174.98011981921252"
"2125500000";"-9.068051713380536";"177.17819778620836"
"2127250000";"-10.106362735477092";"-171.86145633381332"
"2.129e+09";"-10.469655209903454";"-155.87331972718945"
"2130750000";"-10.106775122533975";"-153.70590374947295"
"2132500000";"-10.274362014693285";"-151.8464385366845"
"2134250000";"-7.519217925170542";"-140.65438816554257"
"2.136e+09";"-12.54694358829299";"-170.69515757087626"
"2137750000";"-8.43970953574354";"-142.08973178404975"
"2139500000";"-9.624000688848826";"-141.3125606454937"
"2141250000";"-10.442520406936778";"-142.39630056643813"
