"Freq [GHz]","dB(S(1,1)) []"
1.92222222222222,-13.5868124250571
1.93333333333333,-14.0752107579226
1.94444444444444,-14.5951583364409
1.95555555555556,-15.149629653923
1.96666666666667,-15.7417948210393
1.97777777777778,-16.3748970166025
1.98888888888889,-17.0519921694608
2,-17.7754354113177
2.01111111111111,-18.5459091655578
2.02222222222222,-19.360641770665
2.03333333333333,-20.2102658914984
2.04444444444444,-21.0736299123929
2.05555555555556,-21.9103055124091
2.06666666666667,-22.652866417049
2.07777777777778,-23.2068766811421
2.08888888888889,-23.4723452138816
2.1,-23.3892606832154
2.11111111111111,-22.9747344226611
2.12222222222222,-22.3117905102684
2.13333333333333,-21.5027365396925
2.14444444444444,-20.6319853438853
2.15555555555556,-19.7551678943687
2.16666666666667,-18.9038276918383
2.17777777777778,-18.0935863307422
2.18888888888889,-17.3307265963421
2.2,-16.6164472691746
2.21111111111111,-15.9493566468242
2.22222222222222,-15.3268610625604
2.23333333333333,-14.745912283109
2.24444444444444,-14.2033963078357
2.25555555555556,-13.6963254650406
2.26666666666667,-13.2219241705176
2.27777777777778,-12.7776582274793
2.28888888888889,-12.3612350527451
2.3,-11.9705897878497
2.31111111111111,-11.6038653908337
2.32222222222222,-11.2593910097029
2.33333333333333,-10.9356608407206
2.34444444444444,-10.6313145197555
2.35555555555556,-10.3451194661154
2.36666666666667,-10.075955263778
2.37777777777778,-9.82279999482743
2.38888888888889,-9.58471836107128
2.4,-9.36085140088225
2.41111111111111,-9.15040760589493
2.42222222222222,-8.95265525309255
2.43333333333333,-8.76691578468364
2.44444444444444,-8.59255808696509
2.45555555555556,-8.42899353796639
2.46666666666667,-8.27567171102282
2.47777777777778,-8.13207663708837
2.48888888888889,-7.99772354245303
2.5,-7.87215599063197
2.51111111111111,-7.7549433676798
2.52222222222222,-7.64567865922392
2.53333333333333,-7.54397647527805
2.54444444444444,-7.44947128555951
2.55555555555556,-7.36181583374085
2.56666666666667,-7.28067970395394
2.57777777777778,-7.20574801705023
2.58888888888889,-7.1367202377069
2.6,-7.07330907654427
2.61111111111111,-7.01523947406076
2.62222222222222,-6.96224765546383
2.63333333333333,-6.91408024743486
2.64444444444444,-6.8704934495611
2.65555555555556,-6.83125225464004
2.66666666666667,-6.79612971334489
2.67777777777778,-6.76490623986502
2.68888888888889,-6.73736895612578
2.7,-6.71331107306847
2.71111111111111,-6.69253130824934
2.72222222222222,-6.67483333970887
2.73333333333333,-6.66002529667699
2.74444444444444,-6.64791928822324
2.75555555555556,-6.6383309714338
2.76666666666667,-6.63107916110049
2.77777777777778,-6.62598548323676
2.78888888888889,-6.6228740749867
2.8,-6.62157133365776
2.81111111111111,-6.62190571767742
2.82222222222222,-6.62370760223853
2.83333333333333,-6.62680919224631
2.84444444444444,-6.63104449490311
2.85555555555556,-6.63624935385554
2.86666666666667,-6.64226154627564
2.87777777777778,-6.64892094355128
2.88888888888889,-6.65606973541956
2.9,-6.66355271639961
2.91111111111111,-6.67121763227743
2.92222222222222,-6.67891558318634
2.93333333333333,-6.68650147853803
2.94444444444444,-6.69383453772477
2.95555555555556,-6.70077882917461
2.96666666666667,-6.7072038390449
2.97777777777778,-6.71298505963665
2.98888888888889,-6.71800458655851
3,-6.72215171281645
3.01111111111111,-6.72532350740863
3.02222222222222,-6.72742536570567
3.03333333333333,-6.72837151893593
3.04444444444444,-6.72808549049325
3.05555555555556,-6.72650048755529
3.06666666666667,-6.72355971763408
3.07777777777778,-6.71921662115684
3.08888888888889,-6.71343501295244
3.1,-6.70618912754177
3.11111111111111,-6.69746356533212
3.12222222222222,-6.68725313911581
3.13333333333333,-6.67556262259109
3.14444444444444,-6.66240640487139
3.15555555555556,-6.6478080570496
3.16666666666667,-6.63179981876179
3.17777777777778,-6.61442201428976
3.18888888888889,-6.59572240900775
3.2,-6.57575551788423
3.21111111111111,-6.5545818782832
3.22222222222222,-6.53226729947337
3.23333333333333,-6.50888210106772
3.24444444444444,-6.48450035211266
3.25555555555556,-6.45919912176631
3.26666666666667,-6.43305775150168
3.27777777777778,-6.40615715759386
3.28888888888889,-6.37857917135785
3.3,-6.35040592324745
3.31111111111111,-6.32171927555516
3.32222222222222,-6.29260030711231
3.33333333333333,-6.26312885211428
3.34444444444444,-6.23338309401681
3.35555555555556,-6.20343921438842
3.36666666666667,-6.17337109567459
3.37777777777778,-6.14325007603992
3.38888888888889,-6.11314475380676
3.4,-6.08312083849858
3.41111111111111,-6.05324104511857
3.42222222222222,-6.02356502803604
3.43333333333333,-5.99414935070432
3.44444444444444,-5.96504748738124
3.45555555555556,-5.93630985305033
3.46666666666667,-5.90798385783711
3.47777777777778,-5.88011398236441
3.48888888888889,-5.85274187068225
3.5,-5.82590643762976
3.51111111111111,-5.79964398772961
3.52222222222222,-5.77398834296951
3.53333333333333,-5.74897097708448
3.54444444444444,-5.72462115421094
3.55555555555556,-5.70096607003446
3.56666666666667,-5.67803099379361
3.57777777777778,-5.6558394097302
3.58888888888889,-5.63441315678829
3.6,-5.61377256556099
3.61111111111111,-5.59393659166319
3.62222222222222,-5.57492294487059
3.63333333333333,-5.55674821351089
3.64444444444444,-5.5394279837219
3.65555555555556,-5.52297695330515
3.66666666666667,-5.507409040002
3.67777777777778,-5.49273748410513
3.68888888888889,-5.4789749453905
3.7,-5.46613359441661
3.71111111111111,-5.45422519828871
3.72222222222222,-5.44326120102732
3.73333333333333,-5.43325279871408
3.74444444444444,-5.42421100961388
3.75555555555556,-5.41614673949203
3.76666666666667,-5.40907084235944
3.77777777777778,-5.4029941768878
3.78888888888889,-5.397927658742
3.8,-5.3938823090781
3.81111111111111,-5.39086929945386
3.82222222222222,-5.388899993394
3.83333333333333,-5.38798598484621
3.84444444444444,-5.388139133755
3.85555555555556,-5.38937159897065
3.86666666666667,-5.39169586869869
3.87777777777778,-5.39512478868289
3.88888888888889,-5.39967158830046
3.9,-5.40534990473397
3.91111111111111,-5.41217380536819
